Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,Quantity
Grapefruit,FFR01,code39,,FFR,pc,,,3.89,5.6,5,GST @0%,Inclusive,99508a37a9e17ee808b79a51a4ebea27.png,,,,,,,,,20
Kiwi,FFR02,code39,,FFR,pc,,,2.75,3.9,5,GST @0%,Inclusive,15b75a2391585e635cfaafb829ec8b15.png,,,,,,,,,20
Lemon,FFR03,code39,,FFR,pc,,,1.95,3,5,GST @0%,Inclusive,3d0ca41cb6e4386232b64197e9578d09.png,,,,,,,,,20
Lime,FFR04,code39,,FFR,pc,,,1.95,3,5,GST @0%,Inclusive,af65aa735a07381c3be759337c4e99c3.png,,,,,,,,,20
Strawberry,FFR05,code39,,FFR,pc,,,7.5,12,5,GST @0%,Inclusive,71aabd1634ffd3515a33f4777e501283.png,,,,,,,,,20
Watermelon,FFR06,code39,,FFR,kg,,,1.9,2.5,10,GST @0%,Inclusive,6961b25c19a7c3550a7033d2e403ed88.png,,,,,,,,,100
Yellow Watermelon,FFR07,code39,,FFR,kg,,,1.9,2.5,5,GST @0%,Inclusive,3cf7356230cf26fdb45ef3a2fd10143e.png,,,,,,,,,60
Canon 1100d,IT01,code128,,IT,pc,,,1800,2250,2,GST @6%,Inclusive,77712cc7a2ad7f32dfab19bab0160303.png,,,,,,,,,12
Computer Set 1,IT02,code128,,IT,pc,,,2050,2500,2,GST @6%,Inclusive,85c11f17a9a065ca27388b6c0e437b35.png,,,,,,,,,12
Computer Set 2,IT03,code128,,IT,pc,,,1515,1799,2,GST @6%,Inclusive,c956a14ddaaa35f68df354c7c6b182dd.png,,,,,,,,,10
